Year,Energy Carriers,Contribution_Percentage
2010,Renewable energies,7.334356341822409
2011,Aviation turbine fuel,2.376969731084612
2011,Brown coal (lignite) and brown coal products,8.093809218913064
2011,Crude oil,18.664333075488077
2011,Diesel fuels,6.260971599072697
2011,Electricity and other energy sources,16.613288642452957
2011,Gases,14.553857151536187
2011,Hard coal and hard coal products,9.459835413503802
2011,Heating oil,2.943507268384114
2011,Heavy fuel oil,2.932091942264527
2011,Other mineral oil products,7.002180776008184
2011,Petrol,3.1869433853858733
2011,Renewable energies,7.912211795905903
2012,Aviation turbine fuel,2.624768204361861
2012,Brown coal (lignite) and brown coal products,8.523698098671595
2012,Crude oil,19.24193456036602
2012,Diesel fuels,6.299823354462518
2012,Electricity and other energy sources,16.549338105296307
2012,Gases,14.196621402307898
2012,Hard coal and hard coal products,9.510180663963682
2012,Heating oil,3.061209007798095
2012,Heavy fuel oil,3.1504915879453654
2012,Other mineral oil products,6.905969702671256
2012,Petrol,3.0123379199852454
2012,Renewable energies,6.923622658205146
2013,Aviation turbine fuel,2.6060866570737766
2013,Brown coal (lignite) and brown coal products,8.361499811541748
2013,Crude oil,18.529121688529738
2013,Diesel fuels,6.590111673369941
2013,Electricity and other energy sources,16.202742439334767
2013,Gases,14.845362949283244
2013,Hard coal and hard coal products,9.683616122190735
2013,Heating oil,3.0986798789230376
2013,Heavy fuel oil,2.95595744110343
2013,Other mineral oil products,6.926465451720789
2013,Petrol,2.9205256504034436
2013,Renewable energies,7.279818527407474
2014,Aviation turbine fuel,2.6008159177895402
2014,Brown coal (lignite) and brown coal products,8.400067379915825
2014,Crude oil,18.823388856814343
2014,Diesel fuels,6.405648947254087
2014,Electricity and other energy sources,16.41043023304332
2014,Gases,14.220677250348249
2014,Hard coal and hard coal products,9.720660062087575
2014,Heating oil,2.719245693059438
2014,Heavy fuel oil,2.908127997278501
2014,Other mineral oil products,7.273503810257847
2014,Petrol,2.7211168201708085
2014,Renewable energies,7.796319449457352
2015,Aviation turbine fuel,2.5549466397054146
2015,Brown coal (lignite) and brown coal products,8.119430052503024
2015,Crude oil,18.753780370126545
2015,Diesel fuels,6.80534813418043
2015,Electricity and other energy sources,15.932284880849046
2015,Gases,14.937693187674986
2015,Hard coal and hard coal products,9.293724692174614
2015,Heating oil,2.606898721023895
2015,Heavy fuel oil,3.3564540038116566
2015,Other mineral oil products,6.918787209094196
2015,Petrol,2.6018768749334433
2015,Renewable energies,8.11877758938527
2016,Aviation turbine fuel,2.671993735288996
2016,Brown coal (lignite) and brown coal products,7.83003230306316
2016,Crude oil,18.789060181116536
2016,Diesel fuels,6.883314040026848
2016,Electricity and other energy sources,15.53573554155518
2016,Gases,15.273176537836601
2016,Hard coal and hard coal products,9.30438381302919
2016,Heating oil,2.5894496455994616
2016,Heavy fuel oil,2.8592579036459984
2016,Other mineral oil products,7.361390716149859
2016,Petrol,2.658812845076329
2016,Renewable energies,8.243385678941609
2017,Aviation turbine fuel,2.826492260114954
2017,Brown coal (lignite) and brown coal products,7.696467528514523
2017,Crude oil,18.442322861645323
2017,Diesel fuels,6.602809424973684
2017,Electricity and other energy sources,14.994656422099654
2017,Gases,16.19194183092153
2017,Hard coal and hard coal products,8.231988308570852
2017,Heating oil,2.8872264424310035
2017,Heavy fuel oil,3.2221209558566044
2017,Other mineral oil products,7.450079119446417
2017,Petrol,2.7224710764498132
2017,Renewable energies,8.731442414106253
2018,Aviation turbine fuel,2.8338415993141792
2018,Brown coal (lignite) and brown coal products,7.476172128329409
2018,Crude oil,17.115899455981978
2018,Diesel fuels,6.250933246998498
2018,Electricity and other energy sources,14.65056564313334
2018,Gases,19.785629886867692
2018,Hard coal and hard coal products,7.54558546454057
2018,Heating oil,2.7040173390967173
2018,Heavy fuel oil,3.2989309624006458
2018,Other mineral oil products,6.5179925421202025
2018,Petrol,3.2027679956471933
2018,Renewable energies,8.617656835406924
2019,Aviation turbine fuel,2.865798554452472
2019,Brown coal (lignite) and brown coal products,6.150836535792596
2019,Crude oil,17.635682683355885
2019,Diesel fuels,6.412495003514679
2019,Electricity and other energy sources,14.646880422973041
2019,Gases,19.970214446935756
2019,Hard coal and hard coal products,6.69140775978355
2019,Heating oil,3.088837349154927
2019,Heavy fuel oil,2.9058888441599335
2019,Other mineral oil products,6.873783174217423
2019,Petrol,3.4333192436729676
2019,Renewable energies,9.324855981986769
2020,Aviation turbine fuel,1.3692454242237222
2020,Brown coal (lignite) and brown coal products,5.534091713889162
2020,Crude oil,18.325994595230423
2020,Diesel fuels,6.447826436646639
2020,Electricity and other energy sources,14.604796536270955
2020,Gases,21.052219296333462
2020,Hard coal and hard coal products,5.553013415041562
2020,Heating oil,3.3943068929258593
2020,Heavy fuel oil,2.6611305744542624
2020,Other mineral oil products,7.252404967122842
2020,Petrol,3.464459751451728
2020,Renewable energies,10.34052061606974
